Job_title,Company,Job_type
Full Stack Java Developer (Remotely for USA),Mobile Wave 3 -,Full Time
.Net Full Stack Developer,Nile University -,Full Time
GIS Specialist,Fawry Banking & Payment Technology Services -,Full Time
Research Coordinator,Maxab -,Full Time
Planning & Analysis Sr. Specialist,Masary -,Full Time
Research Coordinator,Nile University -,Full Time
Business Researcher,Confidential -,Full Time
Senior Financial Planning & Analysis,ATRIC Developments -,Full Time
Costing Supervisor,Confidential -,Full Time
Financial Planning Analysis,Tawzef -,Full Time
Senior Full Stack Developer (NodeJS/React),Standout Solutions -,Full Time
AML & Underwriting Specialist,Fawry Banking & Payment Technology Services -,Full Time
Cost Accountant,Mozare3 -,Full Time
Senior .Net Developer - Banha,Z2 Data -,Full Time
Technical Support Specialist,TAB ERP Solutions -,Full Time
Customer Support Engineer "ERP Support Core Banking",Confidential -,Full Time
SEO Senior Specialist - e-commerce,Confidential -,Full Time
Full Stack Web Developer,Confidential -,Full Time
ERP Consultant (Odoo),Tawzef -,Full Time
Fraud Operations Manager,Confidential -,Full Time
Market Research Supervisor,Contact -,Full Time
SOC Engineer,Link Datacenter -,Full Time
Team Leader – (Issuing Fraud Monitoring),Confidential -,Full Time
Senior Budgeting Accountant,Al Watania Poultry -,Full Time
Senior Technical Consultant,Azentio Software -,Full Time
SEO Specialist,Victory Link -,Full Time
Software Developer,Allianz -,Full Time
Market Intelligence & Insights Specialist,Guardian Glass -,Full Time
ERP Technical Support (Help Desk ),Itroots  -,Full Time
SOC Tier 1 - Paid Internship,Cyber Force -,Internship
Front End Developer,Coral Technology -,Full Time
Product Solutions Manager,Amadeus Egypt -,Full Time
ERP Technical Support Specialist,SST -,Full Time
Pricing Specialist (Medical),Confidential -,Full Time
Cost Accountant,Confidential -,Full Time
Financial Planning Manager - (Automotive Background) -6th October,Confidential -,Full Time
Media Buyer/ Performance Marketer,MO4 Network -,Full Time
Research & Development Specialist (Pharmacist),EVA Cosmetics  -,Full Time
Economist,Mubasher -,Full Time
ERP Project Manager,TAB ERP Solutions -,Full Time
ERP Customer Specialist,TAB ERP Solutions -,Full Time
Workforce Supervisor,Andalusia Group -,Full Time
Chief Financial Officer,Confidential -,Full Time
Full Stack Developer,Squadio -,Full Time
Senior React Native Developer,Our Education -,Full Time
Medical Pricing & Market Research Specialist,Andalusia Maadi Hospital  -,Full Time
Senior Full Stack Developer / MVC and C#,Dynamicslink -,Full Time
ECommerce & Digital Marketing Manager,Confidential -,Full Time
E-Commerce Specialist,Elabd Foods -,Full Time
Internal Auditor,Power House Egypt -,Full Time
Product Owner - Health Care SaaS Platform,Confidential -,Full Time
Senior Full Stack .Net Developer,Smart IT -,Full Time
Methodology Specialist,Atco Pharma For Pharmaceutical Industries -,Full Time
Nav/.Net - Developer,Dynamicslink -,Full Time
Senior Software Tester,appcorp -,Full Time
Senior Research Manager,IDC -,Full Time
Medical Specialist (Research) - Alexandria,Caduceus Lane -,Full Time
Investment Banking Associate,Talaat Moustafa Group -,Full Time
Budget Controller (Retail Background) - 6th of October,Confidential -,Full Time
Senior Clinical Research Associate,Confidential -,Full Time
Business Application Support Specialist,Al Ahly Medical Company -,Full Time
.Net Team Leader,SURE International Technology -,Full Time
Senior Java Developer,egabi solutions -,Full Time
Sports Financial Support Specialist,Wadi Degla Group -,Full Time
Technical Consultant - RPA,alfanar -,Full Time
Cost Accountant,Simplex -,Full Time
Quality Control- Microbiology Supervisor - Pharmaceutical,Multicare -,Full Time
Senior .NET Developer,SURE International Technology -,Full Time
PHP WordPress & Woocommerce Plugin Developer,Impression Analytics LLC -,Part Time
Senior Full Stack Developer,3S Software -,Full Time
Senior.Net Developer,FlairsTech -,Full Time
Finance Manager,Confidential -,Full Time
Senior Officer – Acquiring Fraud Monitoring,Confidential -,Full Time
Senior Graphic Designer,Impression Analytics LLC -,Part Time
